index,expected,url
0,sat,http://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1
1,unsat,http://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1
2,unsat,http://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7
3,sat,http://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb
4,unsat,http://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55
5,sat,http://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0
6,unsat,http://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243
7,sat,http://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a
8,unsat,http://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45
9,sat,http://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61
10,unsat,http://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122
11,sat,http://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99
12,unsat,http://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e
13,sat,http://benchmark-database.de/file/465795fa2641c616ce76de8501672a19
14,unsat,http://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242
15,sat,http://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24
16,unsat,http://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273
17,sat,http://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6
18,unsat,http://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22
19,sat,http://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589
20,unsat,http://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502
21,sat,http://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d
22,unsat,http://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad
23,sat,http://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8
24,unsat,http://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c
25,sat,http://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2
26,sat,http://benchmark-database.de/file/88849daabda2e712f659c6edbc142229
27,unsat,http://benchmark-database.de/file/8b267f95678c90b2179944de7233b090
28,sat,http://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92
29,unsat,http://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768
30,unsat,http://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d
31,sat,http://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7
32,unsat,http://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f
33,sat,http://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040
34,unsat,http://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51
35,sat,http://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2
36,sat,http://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0
37,unsat,http://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055
38,sat,http://benchmark-database.de/file/ca3c65a863526793968fc30618a42709
39,sat,http://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e
40,unsat,http://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce
41,unsat,http://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352
42,unsat,http://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9
43,sat,http://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98
44,unsat,http://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6
45,sat,http://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb
46,sat,http://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9
47,unsat,http://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b
48,sat,http://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61
49,unsat,http://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0
