index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,url
0,sat,minisat,sat,1,1,222.41,219.71,2.61,8262280,10,http://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1
1,unsat,minisat,error,0,1,1000.18,999.62,0.38,1535788,0,http://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1
2,unsat,minisat,unsat,1,1,153.91,153.66,0.20,481772,20,http://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7
3,sat,minisat,sat,1,1,987.59,986.85,0.58,3730164,10,http://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb
4,unsat,minisat,error,0,1,1000.08,999.86,0.13,41920,0,http://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55
5,sat,minisat,error,0,1,1000.15,999.18,0.79,2922412,0,http://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0
6,unsat,minisat,error,0,1,1000.22,999.70,0.31,363320,0,http://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243
7,sat,minisat,sat,1,1,132.96,132.88,0.08,18064,10,http://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a
8,unsat,minisat,error,0,1,1000.16,999.44,0.51,2161328,0,http://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45
9,sat,minisat,sat,1,1,426.77,426.51,0.12,18280,10,http://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61
10,unsat,minisat,unsat,1,1,53.01,52.93,0.08,36992,20,http://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122
11,sat,minisat,sat,1,1,73.60,73.51,0.10,18044,10,http://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99
12,unsat,minisat,error,0,1,1001.26,999.74,0.30,614512,0,http://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e
13,sat,minisat,error,0,1,1000.07,999.56,0.42,177000,0,http://benchmark-database.de/file/465795fa2641c616ce76de8501672a19
14,unsat,minisat,unsat,1,1,31.48,31.40,0.09,80956,20,http://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242
15,sat,minisat,error,0,1,1000.39,998.54,1.64,4815424,0,http://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24
16,unsat,minisat,error,0,1,1000.13,999.66,0.34,872360,0,http://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273
17,sat,minisat,error,0,1,1000.10,999.85,0.16,55672,0,http://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6
18,unsat,minisat,unsat,1,1,0.42,0.30,0.08,17676,20,http://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22
19,sat,minisat,sat,1,1,117.21,115.43,1.77,5403344,10,http://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589
20,unsat,minisat,error,0,1,1000.16,999.61,0.37,832232,0,http://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502
21,sat,minisat,sat,1,1,0.16,0.05,0.08,17780,10,http://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d
22,unsat,minisat,error,0,1,1000.09,999.90,0.12,68640,0,http://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad
23,sat,minisat,sat,1,1,83.18,81.57,1.60,4983744,10,http://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8
24,unsat,minisat,error,0,1,1000.20,999.41,0.59,382632,0,http://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c
25,sat,minisat,error,0,1,1000.11,998.97,0.98,1172472,0,http://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2
26,sat,minisat,sat,1,1,175.05,174.65,0.36,697204,10,http://benchmark-database.de/file/88849daabda2e712f659c6edbc142229
27,unsat,minisat,error,0,1,1000.16,999.73,0.28,165684,0,http://benchmark-database.de/file/8b267f95678c90b2179944de7233b090
28,sat,minisat,sat,1,1,216.64,216.47,0.15,114188,10,http://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92
29,unsat,minisat,unsat,1,1,22.37,22.30,0.08,18044,20,http://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768
30,unsat,minisat,error,0,1,1000.18,999.89,0.12,36304,0,http://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d
31,sat,minisat,sat,1,1,128.79,128.72,0.06,26616,10,http://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7
32,unsat,minisat,unsat,1,1,196.69,196.55,0.12,152548,20,http://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f
33,sat,minisat,error,0,1,1000.18,999.57,0.42,1011348,0,http://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040
34,unsat,minisat,error,0,1,1000.15,999.37,0.58,2122636,0,http://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51
35,sat,minisat,error,0,1,1000.08,999.66,0.34,181812,0,http://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2
36,sat,minisat,error,0,1,1000.90,999.77,0.23,132704,0,http://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0
37,unsat,minisat,error,0,1,1000.11,999.87,0.11,24232,0,http://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055
38,sat,minisat,error,0,1,1000.11,999.87,0.12,38272,0,http://benchmark-database.de/file/ca3c65a863526793968fc30618a42709
39,sat,minisat,sat,1,1,101.15,100.77,0.25,428896,10,http://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e
40,unsat,minisat,error,0,1,1000.13,999.61,0.43,1452360,0,http://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce
41,unsat,minisat,error,0,1,1000.18,999.59,0.42,1716040,0,http://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352
42,unsat,minisat,error,0,1,1001.27,999.66,0.36,1195372,0,http://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9
43,sat,minisat,sat,1,1,12.47,12.40,0.08,18008,10,http://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98
44,unsat,minisat,error,0,1,1000.11,999.81,0.20,339364,0,http://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6
45,sat,minisat,sat,1,1,291.72,291.49,0.12,72028,10,http://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb
46,sat,minisat,error,0,1,1000.09,999.90,0.10,44840,0,http://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9
47,unsat,minisat,error,0,1,1000.17,999.48,0.51,1573040,0,http://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b
48,sat,minisat,error,0,1,1000.24,999.37,0.61,2118468,0,http://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61
49,unsat,minisat,error,0,1,1000.08,999.85,0.12,46624,0,http://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0
0,sat,ver3,timeout,0,1,1010.19,1006.94,3.12,10005740,124,http://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1
1,unsat,ver3,error,0,1,1001.23,1000.36,0.61,880204,0,http://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1
2,unsat,ver3,error,0,1,1003.44,1002.82,0.50,836796,0,http://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7
