index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
0,sat,minisat,sat,1,1,226.14,223.34,2.73,8263460,10,00fd8ac9acd186a7a78a2c4d92f90de1,https://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1?context=cnf
1,unsat,minisat,timeout,0,1,1000.13,999.48,0.41,1525496,0,0205e2dffaef93a90c239df31755f2e1,https://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1?context=cnf
2,unsat,minisat,unsat,1,1,179.19,178.88,0.24,484008,20,0aa22564d00e9716519918d84b25c4a7,https://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7?context=cnf
3,sat,minisat,sat,1,1,992.77,992.11,0.56,3727948,10,0c0430a68f147be18ab3fded07f30fdb,https://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb?context=cnf
4,unsat,minisat,unsat,1,1,978.57,978.29,0.13,42468,20,16ff47a05b769ed6a04c7175cfc6da55,https://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55?context=cnf
5,sat,minisat,timeout,0,1,1000.22,999.02,1.00,2732092,0,1753a71fefceb0250a75e67b610050a0,https://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0?context=cnf
6,unsat,minisat,timeout,0,1,1000.20,999.70,0.28,377984,0,1c30806c5aa9cd54bf823c20fa078243,https://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243?context=cnf
7,sat,minisat,sat,1,1,115.95,115.90,0.05,18492,10,22df1827e3253fc824cc7ce806d75e0a,https://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a?context=cnf
8,unsat,minisat,timeout,0,1,1000.23,999.56,0.40,1849904,0,27cb3a6ca772613c5998d7f78a55ba45,https://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45?context=cnf
9,sat,minisat,sat,1,1,486.71,486.60,0.08,18488,10,2d0c041c0fe72dc32527bfbf34f63e61,https://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61?context=cnf
10,unsat,minisat,unsat,1,1,51.78,51.60,0.09,36856,20,3197b65ef50328394a0c9e73281d7122,https://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122?context=cnf
11,sat,minisat,sat,1,1,74.19,74.11,0.09,18364,10,3bfa92996634d2ddc6c0568bba9a0f99,https://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99?context=cnf
12,unsat,minisat,timeout,0,1,1000.19,999.63,0.43,1285876,0,3c129545f090ef08b6ef89a2903ff83e,https://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e?context=cnf
13,sat,minisat,timeout,0,1,1000.08,999.70,0.30,176924,0,465795fa2641c616ce76de8501672a19,https://benchmark-database.de/file/465795fa2641c616ce76de8501672a19?context=cnf
14,unsat,minisat,unsat,1,1,32.69,32.54,0.11,82616,20,47f5872181a581dff34eb33123fe3242,https://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242?context=cnf
15,sat,minisat,timeout,0,1,1000.20,998.60,1.45,4815444,0,4d6e18e506b7e62d3f32cc775219be24,https://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24?context=cnf
16,unsat,minisat,timeout,0,1,1000.21,999.70,0.29,542988,0,5314fd6ccb53b6f6af49a594ea68a273,https://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273?context=cnf
17,sat,minisat,timeout,0,1,1000.08,999.91,0.10,57584,0,59fc779feee4390b57502814d424e0d6,https://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6?context=cnf
18,unsat,minisat,unsat,1,1,5.92,0.25,0.07,18204,20,5c24cfeff639fefdead9a5641f65fa22,https://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22?context=cnf
19,sat,minisat,sat,1,1,98.90,97.43,1.47,5407452,10,6415a71364351c0a521fdee510bc2589,https://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589?context=cnf
20,unsat,minisat,timeout,0,1,1000.22,999.67,0.30,719328,0,65f7145996bbec02b90bd0fa64a20502,https://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502?context=cnf
21,sat,minisat,sat,1,1,0.10,0.04,0.08,18328,10,69f6dd335626a9b71bfc6f2332f52b9d,https://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d?context=cnf
22,unsat,minisat,timeout,0,1,1000.12,999.93,0.09,68680,0,6fab31665147f538da92dc16c3a239ad,https://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad?context=cnf
23,sat,minisat,sat,1,1,76.69,75.27,1.41,4980260,10,753757e87d34bd1075c413d801bf99b8,https://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8?context=cnf
24,unsat,minisat,timeout,0,1,1000.16,999.20,0.81,417216,0,7bdf3e5401cc263951003b569bcd689c,https://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c?context=cnf
25,sat,minisat,timeout,0,1,1000.11,998.91,1.03,1174352,0,7e58b502cc9dbef5f76d5161fb9a09b2,https://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2?context=cnf
26,sat,minisat,sat,1,1,208.79,208.33,0.39,699492,10,88849daabda2e712f659c6edbc142229,https://benchmark-database.de/file/88849daabda2e712f659c6edbc142229?context=cnf
27,unsat,minisat,timeout,0,1,1000.11,999.72,0.26,165576,0,8b267f95678c90b2179944de7233b090,https://benchmark-database.de/file/8b267f95678c90b2179944de7233b090?context=cnf
28,sat,minisat,sat,1,1,223.55,223.31,0.17,114844,10,931621d9964e9d0cd1c4001822015c92,https://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92?context=cnf
29,unsat,minisat,unsat,1,1,21.13,21.08,0.06,18328,20,965bc4f6691b2e5f7388aaa9ba68f768,https://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768?context=cnf
