id,expected,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,core,tier2,local,reductions,deleted,core_promotions,tier2_promotions,tier2_demotions
18,unsat,unsat,1,1,1.45,1.44,0.00,12636,20,5c24cfeff639fefdead9a5641f65fa22,10573,9657,9116,4,15183,7074,5603,808
21,sat,sat,1,1,0.00,0.00,0.00,4048,10,69f6dd335626a9b71bfc6f2332f52b9d,0,1,0,0,0,0,0,0
29,unsat,unsat,1,1,151.64,151.58,0.03,32184,20,965bc4f6691b2e5f7388aaa9ba68f768,21149,9377,25601,37,591029,20108,61661,78591
54,sat,sat,1,1,10.18,10.16,0.01,41740,10,53c21f3e78f060883026b5a12ba691d8,40512,7744,15176,12,75368,21416,13948,23316
70,sat,sat,1,1,24.14,24.07,0.05,170532,10,d89fc3e9c24e0383e940464f4704657e,37043,5300,23617,17,155066,15998,6776,17995
72,unsat,unsat,1,1,3.78,3.77,0.01,16384,20,09cd83e233380d0ba1fc56cee88367b1,17098,4046,1191,2,819,4606,1053,0
80,sat,sat,1,1,47.28,47.16,0.07,125140,10,602c8a200227ab9d64d855164d35b5cf,8302,1470,38848,33,507621,6225,9807,12834
84,unsat,unsat,1,1,0.01,0.00,0.00,8244,20,f6f91f6a44c3953b788c026cbbaa4e91,0,0,0,0,0,0,0,0
92,sat,sat,1,1,2.27,2.25,0.02,62704,10,c86b261162cef181dc513963a8acb77f,1,50,11071,3,18268,0,36,0
95,unsat,unsat,1,1,0.00,0.00,0.00,4924,20,d971241ca861121371d20be1d61c15a3,3,0,0,0,0,0,0,0
