index,source,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
0,historical,sat,minisat,sat,1,1,222.41,219.71,2.61,8262280,10,00fd8ac9acd186a7a78a2c4d92f90de1,https://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1?context=cnf
1,historical,unsat,minisat,error,0,1,1000.18,999.62,0.38,1535788,0,0205e2dffaef93a90c239df31755f2e1,https://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1?context=cnf
2,historical,unsat,minisat,unsat,1,1,153.91,153.66,0.20,481772,20,0aa22564d00e9716519918d84b25c4a7,https://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7?context=cnf
3,historical,sat,minisat,sat,1,1,987.59,986.85,0.58,3730164,10,0c0430a68f147be18ab3fded07f30fdb,https://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb?context=cnf
4,historical,unsat,minisat,error,0,1,1000.08,999.86,0.13,41920,0,16ff47a05b769ed6a04c7175cfc6da55,https://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55?context=cnf
5,historical,sat,minisat,error,0,1,1000.15,999.18,0.79,2922412,0,1753a71fefceb0250a75e67b610050a0,https://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0?context=cnf
6,historical,unsat,minisat,error,0,1,1000.22,999.70,0.31,363320,0,1c30806c5aa9cd54bf823c20fa078243,https://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243?context=cnf
7,historical,sat,minisat,sat,1,1,132.96,132.88,0.08,18064,10,22df1827e3253fc824cc7ce806d75e0a,https://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a?context=cnf
8,historical,unsat,minisat,error,0,1,1000.16,999.44,0.51,2161328,0,27cb3a6ca772613c5998d7f78a55ba45,https://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45?context=cnf
9,historical,sat,minisat,sat,1,1,426.77,426.51,0.12,18280,10,2d0c041c0fe72dc32527bfbf34f63e61,https://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61?context=cnf
